Date,AAPL,AMZN,BAC,GOOGL,JPM,MA,META,MSFT,TSLA,V,z_score,coint_p_vals,cp_day,locked_down,position
2020-12-04,118.68148040771484,158.12899780273438,25.678499221801758,90.38653564453125,105.94361114501953,333.10260009765625,277.26519775390625,204.39024353027344,199.67999267578125,203.8817138671875,-1.1576340163455103,0.37036845518361083,15.0,False,1.0
2020-12-07,120.13770294189453,157.89999389648438,25.50316047668457,90.052978515625,105.5452651977539,329.8232727050781,283.0939636230469,204.32351684570312,213.9199981689453,203.8529510498047,-0.12122750878874654,0.22313530060869474,16.0,False,1.0
2020-12-08,120.74930572509766,158.864501953125,25.362886428833008,89.77046966552734,105.64918518066406,329.65899658203125,280.93292236328125,205.96347045898438,216.6266632080078,203.968017578125,0.003190171547683325,0.06163646977643451,18.0,False,0.0
2020-12-09,118.22522735595703,155.2100067138672,25.24891471862793,88.1116943359375,104.82650756835938,325.84765625,275.5007019042969,201.9493408203125,201.4933319091797,200.90997314453125,-1.1585177181591686,0.05135281733551773,19.0,False,0.0
2020-12-10,119.6426010131836,155.07449340820312,25.520694732666016,87.60567474365234,104.15105438232422,320.6916198730469,274.7076110839844,200.72885131835938,209.02333068847656,199.02145385742188,0.3434072495505062,0.03844782743548152,20.0,False,1.0
2020-12-11,118.83685302734375,155.8209991455078,25.047277450561523,87.96002960205078,103.53621673583984,316.7255859375,271.168701171875,203.34144592285156,203.3300018310547,197.70814514160156,1.0856000399911523,0.22933707441321005,21.0,False,1.0
2020-12-14,118.22522735595703,157.84849548339844,24.740434646606445,86.84294128417969,102.4450912475586,320.33380126953125,271.80316162109375,204.23770141601562,213.27667236328125,198.67636108398438,-0.8079355144043089,0.007065408453506636,22.0,False,-1.0
2020-12-15,124.14714050292969,158.25599670410156,25.108642578125,87.28007507324219,104.19435119628906,322.75213623046875,273.15130615234375,204.17091369628906,211.0833282470703,199.74044799804688,-0.9007241240622894,0.3331168387468011,23.0,False,1.0
2020-12-16,124.0792007446289,162.04800415039062,25.178773880004883,87.08726501464844,104.49742889404297,321.252685546875,273.2702941894531,209.08143615722656,207.58999633789062,199.65414428710938,0.2814522647358091,0.35748892915744124,24.0,False,1.0
2020-12-17,124.94322204589844,161.8040008544922,25.27522087097168,86.26061248779297,103.63146209716797,325.89593505859375,272.0906066894531,209.21490478515625,218.63333129882812,202.44374084472656,0.6454792468639238,0.08315820207989233,25.0,False,1.0
2020-12-18,122.9627914428711,160.08250427246094,25.13494873046875,85.55237579345703,103.12055206298828,329.2138671875,273.993896484375,208.4235382080078,231.6666717529297,202.56837463378906,-1.3711619343043886,0.28790477272983245,26.0,False,1.0
2020-12-21,124.4869155883789,160.3090057373047,26.073013305664062,85.9657211303711,106.991455078125,323.4486083984375,270.4153137207031,212.2374725341797,216.6199951171875,200.36355590820312,-0.2750801075594502,0.14144854812202345,27.0,False,1.0
2020-12-22,128.03038024902344,160.3260040283203,25.608360290527344,85.2550277709961,105.36343383789062,321.3881530761719,264.76495361328125,213.52471923828125,213.44667053222656,197.32469177246094,-1.8056411728210773,0.01784610389911838,28.0,False,1.0
2020-12-23,127.13728332519531,159.2635040283203,26.344789505004883,85.6520004272461,108.30773162841797,318.4765625,265.7760314941406,210.74053955078125,215.32666015625,196.8070068359375,-1.0303988571634255,0.06996956870268628,29.0,False,1.0
2020-12-24,128.1177978515625,158.63450622558594,26.265884399414062,85.9458999633789,107.83145141601562,325.0252685546875,265.0722351074219,212.39002990722656,220.58999633789062,200.06640625,-0.17678670497982196,0.13312305564834181,30.0,False,1.0
2020-12-28,132.69998168945312,164.197998046875,26.4149227142334,87.91841125488281,108.54154968261719,333.21868896484375,274.5887145996094,214.4972686767578,221.22999572753906,203.8337860107422,0.8644310161568415,0.28759200532446016,31.0,False,0.0
2020-12-29,130.93312072753906,166.10000610351562,26.309720993041992,87.11553955078125,108.25579071044922,335.3372497558594,274.37066650390625,213.72494506835938,221.99667358398438,205.50177001953125,1.201260856037749,0.032370293003603966,32.0,False,-1.0
2020-12-30,129.81668090820312,164.29249572753906,26.283416748046875,86.04948425292969,108.55886840820312,343.9367370605469,269.50341796875,211.36981201171875,231.5933380126953,209.32676696777344,0.9791411116597293,0.00010256037159263705,33.0,False,-1.0
2020-12-31,128.8167724609375,162.84649658203125,26.57273292541504,86.86177825927734,110.03970336914062,345.2813720703125,270.7821044921875,212.0753936767578,235.22332763671875,209.68142700195312,0.5063368788984118,0.013664977857329463,34.0,False,-1.0
2021-01-04,125.63251495361328,159.3314971923828,26.32725715637207,85.54793548583984,109.00053405761719,340.0093688964844,266.5988464355469,207.56539916992188,243.2566680908203,208.75157165527344,1.4534293458860164,6.880828095459228e-05,5.0,True,-1.0
2021-01-05,127.18579864501953,160.92550659179688,26.52889633178711,86.2378158569336,109.59364318847656,336.0722961425781,268.61114501953125,207.765625,245.0366668701172,205.63600158691406,-0.6531279156246835,0.0012516661875149452,36.0,False,0.0
2021-01-06,122.9045181274414,156.91900634765625,28.185855865478516,85.38684844970703,114.73966979980469,336.1980895996094,261.0178527832031,202.37838745117188,251.9933319091797,203.82420349121094,-1.8201598773566638,0.0014155430397636238,37.0,False,0.0
2021-01-07,127.09842681884766,158.10800170898438,28.808317184448242,87.93724060058594,118.50762939453125,338.86163330078125,266.400634765625,208.13748168945312,272.0133361816406,204.96498107910156,-1.1391299123144776,0.005721502771374407,38.0,False,1.0
2021-01-08,128.19544982910156,159.13499450683594,28.519001007080078,89.1014175415039,118.63848114013672,342.7262268066406,265.24072265625,209.40565490722656,293.3399963378906,206.53712463378906,-0.7482666636794866,0.02740598042085541,39.0,False,1.0
2021-01-11,125.21505737304688,155.7104949951172,28.99241828918457,87.04266357421875,120.4090805053711,337.2538146972656,254.6041717529297,207.3747100830078,270.39666748046875,204.0830535888672,-0.5704274747402674,0.0497607408094981,40.0,False,1.0
2021-01-12,125.0403060913086,156.04150390625,29.509668350219727,86.10797119140625,122.30177307128906,332.13983154296875,248.9042510986328,204.93374633789062,283.14666748046875,200.21975708007812,-1.5880875895543172,0.0639225713077075,41.0,False,1.0
2021-01-13,127.06932830810547,158.29449462890625,29.334327697753906,86.59464263916016,122.41514587402344,335.44256591796875,249.44944763183594,206.2781524658203,284.8033447265625,200.68946838378906,-1.589248978217539,0.6350067066757519,42.0,False,1.0
2021-01-14,125.14710235595703,156.37350463867188,29.798988342285156,85.78533172607422,123.13037109375,316.6524963378906,243.50167846679688,203.1126251220703,281.6666564941406,193.5093231201172,-0.6416926357301286,0.8870518853314241,43.0,False,1.0
2021-01-15,123.42877960205078,155.21249389648438,28.939815521240234,85.62178039550781,120.92369079589844,313.0979309082031,249.171875,202.75979614257812,275.38665771484375,193.25050354003906,0.8266832353416949,0.8168687880401722,44.0,False,1.0
2021-01-19,124.0986099243164,156.03799438476562,28.72941017150879,88.43930053710938,120.40036010742188,315.693603515625,258.82708740234375,206.37353515625,281.51666259765625,193.31759643554688,0.2957242508727043,0.6017929144091112,45.0,False,-1.0
